,leakage,TDD_A,TDD_B,TDD_C,PF,Status
0,0.0259690881,0.5615287932857143,0.2238975765714285,0.519037502,0.7443146589192149,1
1,0.0235319778470588,0.6576566071428571,0.2603218343333333,0.6041881895714285,0.729650615006368,1
2,0.0239106292,0.6538587956999999,0.25652098135,0.6060194457142858,0.7332695275226967,1
3,0.0224074277636363,0.7245544076,0.41375940505,0.5941320345238095,0.704273826092452,1
4,0.0248666505,0.78309569365,0.47367807765,0.6251067142631579,0.7059514850575783,1
5,0.0201751099625,0.6481296334761906,0.2460986467142857,0.5953583546666666,0.7336220772456715,1
6,0.0235091077625,0.6396282971,0.24785806545,0.5886764527499999,0.7335053097046014,1
7,0.0248236464411764,0.6441263897142857,0.2509947007619048,0.5934616837619048,0.7360641847415843,1
8,0.0234198949411764,0.9457477487894737,0.6620203713684211,0.7690443463888889,0.7320220936342786,1
9,0.0193387975333333,1.077595517142857,0.8437731407619047,0.8025534465714286,0.7298865270877359,1
10,0.0215763494647058,1.1220410705,0.94410145595,0.82697238915,0.7068932694517565,1
11,0.0180136870533333,1.0865711035,0.8157131463,0.85356316875,0.716338756202012,1
12,0.0250616315777777,1.0072447563157894,0.7441966971578948,0.7860857468421053,0.7365062509957432,1
13,0.016961395417647,1.052019770777778,0.7719048558333333,0.7066248820555556,0.7379617158740258,1
14,0.01743164915,1.0668417043333334,0.7719015478571429,0.6273206130476191,0.8191177859586549,1
15,0.028717788717647,1.6139690838421052,1.3351242851578946,1.1326580268421054,0.7578352041578043,1
16,0.0200562927999999,2.0026372895238094,1.7266501106190475,1.619953718809524,0.742510189857115,1
17,0.0230846608823529,1.5293460145789477,1.171318139105263,1.088037773421053,0.7875773884720529,1
18,0.0301587197722222,1.20217187685,0.8665515779499999,0.7792474179,0.7962704031472776,1
19,0.0259140987736842,1.5567703753809523,1.3683298055238096,1.176860805047619,0.8283440155175381,1
20,0.0254604983058823,1.3769223227222225,1.0552045835555557,0.9322941913888888,0.7600631720681627,1
21,0.0342112525833333,1.5391629039545456,1.2782048204090908,1.0772428072727271,0.8819193298248383,1
22,0.02196585365,1.0006300460526316,0.8046783082631579,0.6649333803157894,0.7819667566650056,1
23,0.0337044178052631,1.8673431784,1.6082020193999995,1.42283206755,0.8044122468165528,1
24,0.0230520076117647,1.176864966,0.8646276437368421,0.7781077624210526,0.8060875376308616,1
25,0.0230698970071428,1.08647433875,0.7634439618,0.6916784526499999,0.8105274337331364,1
